"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2025","30,613.45","30,845.65","30,923.30","30,583.30","","-0.87%"
"08/07/2025","30,882.75","30,670.35","30,931.55","30,518.70","","0.15%"
"08/06/2025","30,837.25","31,022.05","31,034.10","30,801.85","","-0.52%"
"08/05/2025","30,997.50","31,042.75","31,062.95","30,881.30","","0.00%"
"08/04/2025","30,998.80","30,710.65","31,017.15","30,647.95","","1.10%"
"08/01/2025","30,660.35","30,959.25","30,988.40","30,615.05","","-1.08%"
"07/31/2025","30,995.90","30,813.95","31,235.95","30,809.60","","-0.30%"
"07/30/2025","31,088.95","31,144.25","31,172.15","31,025.20","","-0.05%"
"07/29/2025","31,104.55","30,865.65","31,138.30","30,843.85","","0.57%"
"07/28/2025","30,927.15","31,076.35","31,223.30","30,881.95","","-0.65%"
"07/25/2025","31,128.45","31,352.20","31,360.70","31,068.15","","-1.02%"
"07/24/2025","31,447.65","31,648.20","31,675.60","31,388.15","","-0.54%"
"07/23/2025","31,616.95","31,536.45","31,632.35","31,487.55","","0.48%"
"07/22/2025","31,464.40","31,645.30","31,662.05","31,435.40","","-0.24%"
"07/21/2025","31,540.25","31,443.95","31,569.05","31,264.40","","0.30%"
"07/18/2025","31,445.10","31,622.85","31,645.25","31,357.90","","-0.44%"
"07/17/2025","31,584.90","31,672.90","31,707.30","31,569.95","","-0.20%"
"07/16/2025","31,648.70","31,640.85","31,707.75","31,536.25","","-0.02%"
"07/15/2025","31,655.40","31,535.15","31,691.00","31,463.30","","0.55%"
"07/14/2025","31,483.70","31,541.35","31,549.80","31,384.10","","-0.16%"
"07/11/2025","31,533.90","31,679.15","31,774.05","31,496.85","","-0.72%"
"07/10/2025","31,761.00","31,924.75","31,952.15","31,741.85","","-0.43%"
"07/09/2025","31,898.40","31,944.65","31,995.45","31,840.10","","-0.15%"
"07/08/2025","31,944.80","31,907.90","31,972.15","31,817.10","","0.08%"
"07/07/2025","31,920.30","31,927.35","31,971.30","31,849.85","","-0.05%"
"07/04/2025","31,936.75","31,957.10","31,988.95","31,807.50","","-0.05%"
"07/03/2025","31,954.30","32,061.15","32,164.35","31,930.45","","-0.17%"
"07/02/2025","32,008.60","32,083.90","32,122.20","31,917.20","","-0.17%"
"07/01/2025","32,062.90","32,120.40","32,156.65","32,000.35","","0.03%"
"06/30/2025","32,053.75","32,192.40","32,203.05","31,980.90","","-0.23%"
"06/27/2025","32,126.80","32,073.85","32,169.05","32,003.60","","0.37%"
"06/26/2025","32,009.75","31,710.45","32,022.15","31,688.15","","1.08%"
"06/25/2025","31,667.10","31,584.05","31,702.35","31,575.15","","0.68%"
"06/24/2025","31,451.90","31,596.80","31,755.05","31,424.15","","0.40%"
"06/23/2025","31,325.15","31,203.90","31,434.25","31,068.20","","-0.23%"
"06/20/2025","31,398.50","31,051.85","31,432.40","31,033.75","","1.14%"
"06/19/2025","31,044.45","31,089.75","31,160.30","30,962.60","","-0.15%"
"06/18/2025","31,091.65","31,091.25","31,301.75","31,014.85","","-0.11%"
"06/17/2025","31,127.25","31,335.55","31,349.35","31,094.90","","-0.62%"
"06/16/2025","31,320.85","31,021.60","31,347.35","30,938.05","","0.96%"
"06/13/2025","31,022.20","30,663.00","31,062.25","30,663.00","","-0.54%"
"06/12/2025","31,190.85","31,602.60","31,632.70","31,130.20","","-1.14%"
"06/11/2025","31,550.95","31,565.35","31,670.70","31,491.60","","0.08%"
"06/10/2025","31,526.35","31,580.85","31,594.85","31,448.95","","0.26%"
"06/09/2025","31,444.25","31,403.55","31,454.70","31,326.10","","0.68%"
"06/06/2025","31,231.95","30,903.75","31,239.70","30,786.20","","1.21%"
"06/05/2025","30,860.00","30,830.40","31,042.35","30,720.40","","0.43%"
"06/04/2025","30,727.70","30,662.90","30,760.25","30,628.50","","0.26%"
"06/03/2025","30,648.40","30,959.70","31,037.65","30,604.65","","-0.75%"
"06/02/2025","30,879.00","30,845.35","30,931.45","30,722.25","","-0.09%"
"05/30/2025","30,907.30","31,068.85","31,177.10","30,885.50","","-0.65%"
"05/29/2025","31,108.40","31,091.15","31,165.40","30,939.85","","0.37%"
"05/28/2025","30,993.40","31,201.40","31,210.55","30,972.55","","-0.47%"
"05/27/2025","31,139.75","31,265.20","31,363.25","30,984.60","","-0.45%"
"05/26/2025","31,280.15","31,180.15","31,361.35","31,167.20","","0.57%"
"05/23/2025","31,102.25","30,823.10","31,163.90","30,798.85","","1.10%"
"05/22/2025","30,765.35","30,939.30","30,941.00","30,566.65","","-0.83%"
"05/21/2025","31,022.35","30,902.75","31,190.20","30,822.45","","0.57%"
"05/20/2025","30,845.60","31,337.60","31,338.85","30,821.30","","-1.19%"
"05/19/2025","31,218.25","31,306.05","31,397.20","31,192.25","","-0.22%"
"05/16/2025","31,285.65","31,299.65","31,346.00","31,154.65","","0.01%"
"05/15/2025","31,282.25","30,752.90","31,338.65","30,522.55","","1.82%"
"05/14/2025","30,722.40","30,592.50","30,800.35","30,496.25","","0.61%"
"05/13/2025","30,536.95","30,807.40","30,925.40","30,488.90","","-0.98%"
"05/12/2025","30,837.75","30,304.75","30,858.75","30,247.85","","3.63%"
"05/09/2025","29,757.65","29,473.35","29,853.50","29,473.35","","-0.69%"
"05/08/2025","29,964.80","30,229.70","30,262.35","29,800.35","","-0.91%"
"05/07/2025","30,238.75","29,888.10","30,277.75","29,882.10","","0.22%"
"05/06/2025","30,172.60","30,417.20","30,431.90","30,111.90","","-0.62%"
"05/05/2025","30,360.05","30,213.15","30,412.00","30,194.05","","0.77%"
"05/02/2025","30,128.15","30,144.35","30,528.50","29,974.15","","-0.27%"
"04/30/2025","30,209.55","30,236.75","30,295.00","30,074.45","","-0.21%"
"04/29/2025","30,271.90","30,400.30","30,472.70","30,201.50","","-0.14%"
"04/28/2025","30,314.80","29,978.55","30,345.25","29,968.30","","0.91%"
"04/25/2025","30,040.65","30,497.00","30,591.00","29,789.25","","-1.26%"
"04/24/2025","30,424.10","30,421.85","30,527.80","30,346.65","","-0.04%"
"04/23/2025","30,434.95","30,341.75","30,446.20","30,067.40","","1.03%"
"04/22/2025","30,124.00","30,214.65","30,238.50","30,046.95","","-0.17%"
"04/21/2025","30,173.85","29,870.35","30,242.90","29,728.50","","1.29%"
"04/17/2025","29,789.65","29,323.65","29,825.25","29,128.90","","1.29%"
"04/16/2025","29,411.05","29,177.25","29,425.80","29,108.00","","0.65%"
"04/15/2025","29,222.45","29,171.80","29,256.15","28,958.05","","2.23%"
"04/11/2025","28,584.15","28,494.30","28,675.80","28,423.55","","2.10%"
"04/09/2025","27,997.50","28,079.60","28,120.95","27,898.70","","-0.63%"
"04/08/2025","28,175.10","28,043.50","28,315.65","27,794.35","","2.01%"
"04/07/2025","27,618.80","26,913.25","27,729.00","26,907.05","","-3.26%"
"04/04/2025","28,550.75","29,067.75","29,090.05","28,474.50","","-2.18%"
"04/03/2025","29,185.55","29,008.50","29,252.25","29,001.05","","-0.10%"
"04/02/2025","29,215.55","29,065.25","29,242.30","28,928.05","","0.72%"
"04/01/2025","29,006.75","29,063.25","29,402.20","28,947.75","","-0.72%"
"03/28/2025","29,215.85","29,385.55","29,490.30","29,116.70","","-0.56%"
"03/27/2025","29,379.50","29,121.15","29,452.55","29,088.70","","0.58%"
"03/26/2025","29,210.65","29,457.40","29,513.80","29,180.30","","-0.69%"
"03/25/2025","29,414.60","29,587.95","29,661.90","29,320.85","","-0.18%"
"03/24/2025","29,466.45","29,329.20","29,547.30","29,235.50","","1.08%"
"03/21/2025","29,151.45","28,984.65","29,244.30","28,910.45","","0.80%"
"03/20/2025","28,920.55","28,777.80","28,955.10","28,640.25","","1.13%"
"03/19/2025","28,596.30","28,526.20","28,644.95","28,416.40","","0.57%"
"03/18/2025","28,433.25","28,200.40","28,455.40","28,109.70","","1.45%"
"03/17/2025","28,027.90","27,806.00","28,129.70","27,806.00","","0.67%"
"03/13/2025","27,841.60","28,079.05","28,100.00","27,817.75","","-0.53%"
"03/12/2025","27,989.25","28,087.95","28,146.60","27,787.15","","-0.23%"
"03/11/2025","28,054.50","27,889.30","28,087.80","27,826.90","","-0.18%"
"03/10/2025","28,105.40","28,256.20","28,461.90","28,061.55","","-0.66%"
"03/07/2025","28,291.40","28,305.80","28,429.00","28,236.45","","-0.10%"
"03/06/2025","28,321.10","28,190.70","28,350.95","27,931.40","","1.12%"
"03/05/2025","28,008.70","27,530.20","28,048.20","27,524.10","","1.63%"
"03/04/2025","27,558.90","27,391.25","27,615.55","27,327.60","","-0.25%"
"03/03/2025","27,628.80","27,615.10","27,733.40","27,393.05","","0.32%"
"02/28/2025","27,541.90","28,109.65","28,109.95","27,512.65","","-2.41%"
"02/27/2025","28,222.50","28,272.35","28,334.80","28,139.15","","-0.11%"
"02/25/2025","28,252.95","28,297.50","28,390.15","28,215.40","","-0.24%"
"02/24/2025","28,322.20","28,317.30","28,449.95","28,279.70","","-0.88%"
"02/21/2025","28,574.30","28,681.60","28,771.85","28,454.65","","-0.53%"
"02/20/2025","28,727.45","28,499.80","28,749.05","28,490.60","","0.41%"
"02/19/2025","28,611.15","28,466.55","28,752.60","28,417.75","","-0.02%"
"02/18/2025","28,617.80","28,637.20","28,688.00","28,405.95","","-0.05%"
"02/17/2025","28,630.80","28,387.45","28,650.65","28,191.05","","0.49%"
"02/14/2025","28,490.85","28,855.95","28,899.30","28,287.90","","-1.00%"
"02/13/2025","28,779.85","28,766.55","29,048.75","28,683.00","","0.12%"
"02/12/2025","28,745.25","28,737.15","28,903.75","28,342.40","","0.08%"
"02/11/2025","28,723.30","29,194.15","29,203.35","28,613.70","","-1.64%"
"02/10/2025","29,201.80","29,490.30","29,514.70","29,115.80","","-0.95%"
"02/07/2025","29,482.20","29,494.60","29,604.70","29,260.90","","0.19%"
"02/06/2025","29,427.00","29,679.55","29,693.25","29,401.85","","-0.55%"
"02/05/2025","29,591.10","29,677.40","29,714.05","29,566.25","","-0.09%"
"02/04/2025","29,617.60","29,433.60","29,633.35","29,269.80","","1.23%"
"02/03/2025","29,256.65","29,243.55","29,290.00","29,041.15","","-0.51%"
"02/01/2025","29,407.35","29,470.45","29,592.60","29,179.20","","-0.08%"
"01/31/2025","29,429.95","29,052.80","29,487.60","29,017.55","","1.54%"
"01/30/2025","28,984.55","28,921.50","29,164.30","28,841.05","","0.32%"
"01/29/2025","28,892.40","28,610.50","28,922.65","28,537.50","","1.26%"
"01/28/2025","28,532.80","28,604.65","28,772.80","28,327.45","","0.14%"
"01/27/2025","28,493.75","28,741.20","28,797.65","28,431.75","","-1.44%"
"01/24/2025","28,909.10","29,074.30","29,277.85","28,847.30","","-0.64%"
"01/23/2025","29,094.45","28,874.95","29,177.50","28,820.40","","0.55%"
"01/22/2025","28,934.15","28,956.70","28,979.70","28,717.10","","0.24%"
"01/21/2025","28,863.95","29,288.95","29,361.20","28,837.70","","-1.18%"
"01/20/2025","29,209.15","29,169.40","29,245.90","28,945.45","","0.58%"
"01/17/2025","29,039.85","28,998.05","29,156.35","28,855.70","","0.07%"
"01/16/2025","29,018.55","29,122.40","29,154.60","28,986.40","","0.54%"
"01/15/2025","28,861.35","28,973.20","29,008.60","28,780.40","","0.04%"
"01/14/2025","28,849.00","28,722.35","28,964.35","28,709.90","","0.82%"
"01/13/2025","28,613.90","28,917.65","29,047.30","28,547.95","","-1.95%"
"01/10/2025","29,181.50","29,405.45","29,479.10","29,074.15","","-0.79%"
"01/09/2025","29,413.00","29,594.50","29,604.25","29,386.70","","-0.60%"
